"ring_no","sex","year","parent","totaloff","totalmates","epy","category","analysis","species","stage_red2","body_mass","right_tarsus","tarsus_mean_SMI","scaled_mass_index","tail_body"
"GN 76798","male","2015","CW15_148",5,1,1,"cat2","tag","black coucal","feeding",89,38.4,38.87,91.30409458,158
"GN 76799","male","2015","CW15_149",3,1,0,"cat3","tag","black coucal","feeding",103,38.7,38.87,103.9529066,144
"GN 76829","female","2016","CW16_096",20,4,0,"nocat","tag","black coucal","egg_incub_feed",164,42.7,42.48,161.531536,176
"GN 76846","female","2016","CW16_097",13,3,0,"nocat","tag","black coucal","egg_incub_feed",182,39.8,42.48,220.3760548,180
"GN 76855","male","2016","CW16_098",4,2,0,"cat3","tag","black coucal","egg-lay_incub",110,39.4,38.87,106.914171,151
"GN 76878","male","2016","CW16_099",7,1,0,"cat3","tag","black coucal","feeding",95,39.6,38.87,91.35791292,150
"GN 76889","male","2016","CW16_100",6,1,1,"cat2","tag","black coucal","egg-lay_incub",112,40.5,38.87,102.7389609,166
"GN 76907","male","2016","CW16_101",7,1,1,"cat2","tag","black coucal","feeding",100,37.8,38.87,106.0400389,152
"GN 76916","male","2016","CW16_102",3,1,0,"cat3","tag","black coucal","feeding",109,40.8,38.87,98.4486228,149
"GN 76920","male","2016","CW16_103",5,1,1,"cat2","tag","black coucal","feeding",104,38.4,38.87,106.6924251,156
"GN 76935","male","2016","CW16_104",1,1,0,"cat3","tag","black coucal","feeding",95,40,38.87,89.44904607,165
"GN 76936","female","2016","CW16_105",3,2,0,"nocat","tag","black coucal",NA,158,41.4,42.48,170.4094996,165
"GN 76962","male","2017","CW17_026",3,1,0,"cat3","tag","black coucal","mating",91,36.7,38.87,102.6734467,169
"GN 76963","female","2017","CW17_025",10,4,0,"nocat","tag","black coucal","mating",153,41.6,42.48,162.6983422,179
"GN 76981","male","2017","CW17_030",4,1,1,"cat2","tag","black coucal","feeding",106,42.7,38.87,87.00757203,160
"GN 76985","female","2017","CW17_031",7,2,0,"nocat","tag","black coucal","mating",180,44.5,42.48,157.0497425,164
"GN 76986","male","2017","CW17_032",4,1,1,"cat2","tag","black coucal","feeding",99,39.4,38.87,96.22275393,159
"GN 76999","male","2017","CW17_033",3,1,0,"cat3","tag","black coucal","feeding",92,38.1,38.87,95.94991698,140
"GN 90551","female","2018","CW18_062",12,2,0,"nocat","tag","black coucal","mating",167,41.4,42.48,173.7740108,184
"GN 90560","female","2018","CW18_064",5,3,0,"nocat","tag","black coucal","mating",193,43.8,42.48,184.0933763,181
"GN 90570","male","2018","CW18_065",9,1,1,"cat2","tag","black coucal","feeding",100,40.6,38.87,91.2571609,150
"GN 90575","male","2018","CW18_066",4,1,0,"cat3","tag","black coucal","mating",107,40.6,38.87,97.64516216,154
"GN 90581","female","2018","CW18_067",15,4,0,"nocat","tag","black coucal","mating",185,42.4,42.48,185.5392199,188
"GN 90582","male","2018","CW18_069",3,1,0,"cat3","tag","black coucal","feeding",98,40.2,38.87,91.31188075,146
"GN 90585","male","2018","CW18_070",4,1,1,"cat2","tag","black coucal","feeding",94,39.4,38.87,91.36301888,145
"GN 90590","male","2018","CW18_071",4,1,0,"cat3","tag","black coucal","feeding",95,39.4,38.87,92.33496589,145
"GNRH female #3","female","2001","WG06_101",7,4,0,"nocat","tag","black coucal","mating",175,42.4,42.48,175.5100729,195
